ControlSet,CacheEntryPosition,Path,LastModifiedTimeUTC,Executed,Duplicate,SourceFile
1,173,C:\Program Files\Microsoft Visual Studio\2022\Community\Common7\IDE\Blend.exe,2022-06-DD 04:55:52,NA,False,Live Registry
1,174,C:\Program Files\Microsoft Visual Studio\2022\Community\Common7\IDE\devenv.exe,2022-06-DD 04:55:52,NA,False,Live Registry
1,175,C:\Windows\SystemApps\Microsoft.AAD.BrokerPlugin_cw5n1h2txyewy\Application,2022-06-DD 05:46:12,NA,False,Live Registry
1,176,00000009	01a54e6601a90000	0000000000000000	8664	MicrosoftWindows.Client.WebExperience	cw5n1h2txyewy	,,NA,False,Live Registry
1,177,0000000b	03e84c7c03e80000	0000000000000000	8664	Microsoft.AAD.BrokerPlugin	cw5n1h2txyewy	neutral,,NA,False,Live Registry
1,178,C:\Program Files\WindowsApps\MicrosoftWindows.Client.WebExperience_421.20070.425.0_x64__cw5n1h2txyewy\Dashboard\Widgets.exe,2022-06-DD 02:12:47,NA,False,Live Registry
1,179,C:\Windows\System32\RuntimeBroker.exe,2022-05-DD 05:19:15,NA,False,Live Registry
1,180,C:\Windows\SystemApps\Microsoft.Windows.StartMenuExperienceHost_cw5n1h2txyewy\Application,2022-06-DD 05:46:20,NA,False,Live Registry
1,181,C:\Windows\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\Application,2022-06-DD 05:46:19,NA,False,Live Registry
1,182,C:\Users\rever\AppData\Local\GitHubDesktop\GitHubDesktop.exe,2022-01-DD 02:26:52,NA,False,Live Registry
1,183,0000000b	000a0000585d0001	0000000000000000	8664	Microsoft.Windows.StartMenuExperienceHost	cw5n1h2txyewy	neutral,,NA,False,Live Registry
1,184,C:\Users\rever\AppData\Local\JandiApp\JandiApp.exe,2022-01-DD 07:32:18,NA,False,Live Registry
1,185,C:\Program Files (x86)\Nmap\zenmap.exe,2021-08-DD 06:57:24,NA,False,Live Registry
1,186,C:\Users\rever\AppData\Local\Programs\Notion\Notion.exe,2021-10-DD 10:29:14,NA,False,Live Registry
1,187,00000009	03e8586803e80000	0000000000000000	8664	MicrosoftWindows.Client.CBS	cw5n1h2txyewy	,,NA,False,Live Registry
1,188,C:\Users\rever\AppData\Roaming\Telegram Desktop\Telegram.exe,2022-03-DD 12:05:08,NA,False,Live Registry
